nim,angkatan,fakultas,program_studi,jenis_kelamin,asal_provinsi,jalur_masuk,ukt_kelompok,beasiswa,tahun_ajaran,semester,mata_kuliah,sks,nilai_huruf,bobot_nilai,kehadiran_persen,nilai_tugas,nilai_uts,nilai_uas
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Olahraga,2,B,3.0,81,74.3,48.7,71.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Agama,4,AB,3.5,98,72.1,78.4,100.0
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Manajemen Proyek,4,BC,2.5,88,62.2,49.3,61.2
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Tugas Akhir II,2,BC,2.5,71,66.3,51.5,67.2
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Kalkulus II,4,B,3.0,86,78.3,80.4,71.9
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Kimia Dasar IA,3,B,3.0,87,69.8,54.8,71.4
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Ganjil,Fisika Dasar IIA,3,C,2.0,80,45.1,50.6,53.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Genap,Fisika Statistik,3,C,2.0,83,56.7,52.6,39.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Genap,Pengantar Rekayasa,4,D,1.0,59,43.6,39.3,46.1
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Genap,Fisika Dasar IA,2,C,2.0,78,34.4,45.0,46.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Genap,Analisis Real,2,B,3.0,75,60.9,80.1,43.5
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2021/2022,Genap,Kalkulus II,4,B,3.0,95,71.4,78.0,74.2
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Ganjil,Kimia Dasar IA,3,B,3.0,90,68.4,56.9,88.6
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Ganjil,Kalkulus II,2,BC,2.5,89,60.7,68.9,46.6
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Ganjil,Mekanika Kuantum,3,BC,2.5,93,55.3,56.2,60.9
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Ganjil,Fisika Dasar IA,4,D,1.0,54,32.9,52.2,49.7
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Ganjil,Manajemen Proyek,2,BC,2.5,87,61.4,54.1,75.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Genap,Tugas Akhir I,2,BC,2.5,74,60.0,67.3,48.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Genap,Aljabar Linear,2,AB,3.5,88,63.5,87.9,71.2
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Genap,Olahraga,4,BC,2.5,88,48.6,56.3,51.2
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Genap,Metodologi Penelitian,4,C,2.0,68,52.9,61.7,56.5
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Genap,Astrofisika,4,BC,2.5,81,54.4,51.6,84.8
23100001,2023,SF,Matematika,Perempuan,Jawa Tengah,SNBT,4,Tidak,2022/2023,Genap,Kalkulus I,4,C,2.0,66,60.0,43.2,46.8
