nim,angkatan,fakultas,program_studi,jenis_kelamin,asal_provinsi,jalur_masuk,ukt_kelompok,beasiswa,tahun_ajaran,semester,mata_kuliah,sks,nilai_huruf,bobot_nilai,kehadiran_persen,nilai_tugas,nilai_uts,nilai_uas
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Ganjil,Tugas Akhir II,2,B,3.0,77,78.8,85.0,70.8
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Ganjil,Elemen Mesin,3,B,3.0,70,85.3,76.5,67.0
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Ganjil,Kalkulus II,3,A,4.0,98,76.7,71.2,83.3
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Ganjil,Kalkulus I,2,C,2.0,67,36.0,42.7,37.7
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Genap,Bahasa Inggris,2,AB,3.5,95,70.9,59.7,95.7
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Genap,Elemen Mesin,2,B,3.0,82,73.3,54.7,66.2
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Genap,Mekanika Fluida,2,AB,3.5,96,66.9,75.7,68.9
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2021/2022,Genap,Olahraga,3,AB,3.5,86,73.2,92.3,77.9
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2022/2023,Ganjil,Tugas Akhir I,3,BC,2.5,92,71.0,49.2,66.9
23130001,2023,FTMD,Teknik Mesin,Laki-laki,Jawa Barat,SNBP,6,Tidak,2022/2023,Ganjil,Fisika Dasar IIA,2,BC,2.5,91,44.8,55.3,64.2
